CASE_ID,PARTY_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED
"1199920",1,"2","F",0,"0","4","M","Q","0"
"1199920",1,"2","M",4,"0","6","M","Q","0"
"1199920",2,"2","M",4,"0","4","M","Q","0"
"1202060",2,"2","M",45,"0","3","G","-","0"
"1205315",1,"1","F",23,"4","1","G","-","0"
"1222779",1,"2","F",18,"0","6","G","-","0"
"1222779",1,"2","F",35,"0","4","G","-","0"
"1222779",2,"2","M",43,"0","3","G","-","0"
"1225850",2,"2","M",37,"0","3","G","-","0"
"1225850",2,"2","M",23,"0","6","G","-","0"
"1225854",1,"1","M",24,"4","1","M","C","0"
"1225869",1,"1","F",51,"4","1","G","-","0"
"1225869",2,"2","F",48,"0","2","C","-","0"
"1225869",2,"2","F",17,"0","3","G","-","0"
"1231283",2,"2","F",14,"4","6","G","-","0"
"1231283",2,"2","F",6,"4","4","G","-","0"
"1234415",2,"1","M",37,"4","1","G","-","0"
"1238783",1,"2","M",11,"0","6","G","-","0"
"1239691",1,"2","M",81,"3","1","M","G","0"
"1239986",1,"1","F",35,"3","1","L","-","0"
"1244778",1,"1","M",47,"4","1","G","-","0"
"1259277",1,"2","M",19,"0","4","G","-","0"
"1269498",1,"1","F",47,"4","1","L","-","0"
"1269498",4,"2","M",17,"0","3","G","-","0"
"1272613",2,"2","M",19,"0","3","G","-","0"
"1276005",1,"1","M",41,"3","1","C","-","0"
"1276005",2,"1","M",61,"4","1","G","-","0"
"1276034",1,"2","F",27,"0","3","M","G","0"
"1276034",1,"2","M",1,"0","4","P","T","0"
"1276034",1,"2","F",2,"0","5","P","T","0"
"1277371",2,"1","F",42,"4","1","G","-","0"
"1277396",2,"2","M",49,"0","6","G","-","0"
"1277396",2,"2","F",45,"0","4","G","-","0"
"1277396",3,"1","F",18,"4","1","G","-","0"
"1284396",1,"1","M",26,"4","1","G","-","0"
"1290608",1,"2","M",3,"2","3","Q","-","0"
"1290608",1,"1","F",47,"2","1","L","-","0"
"1304760",1,"2","M",20,"0","3","G","-","0"
"1304763",1,"1","F",26,"4","1","G","-","0"
"1304763",2,"1","F",47,"4","1","G","-","0"
"1310612",1,"2","F",16,"0","6","P","-","0"
"1310612",1,"2","F",18,"0","6","P","-","0"
"1310612",1,"1","F",49,"4","1","G","-","0"
"1316507",2,"1","M",43,"4","1","G","-","0"
"1322208",1,"1","F",22,"4","1","L","G","0"
"1332597",2,"2","F",3,"0","6","Q","-","0"
"1333749",1,"1","F",20,"4","1","G","-","0"
"1333749",1,"2","F",20,"4","3","G","-","0"
"1343744",2,"2","M",3,"0","5","Q","-","0"
"1343744",2,"2","F",71,"0","4","Q","-","0"
"1343796",2,"1","M",31,"4","1","G","-","0"
"1343796",2,"2","F",30,"0","3","G","-","0"
"1343805",1,"2","M",18,"0","3","G","-","0"
"1343805",3,"1","M",36,"3","1","G","-","0"
"1350491",2,"2","F",61,"0","3","M","G","0"
"1352610",1,"2","M",20,"0","3","G","-","0"
"1352611",1,"2","F",28,"0","3","G","-","0"
"1352630",1,"2","F",22,"3","3","G","-","0"
"1383070",1,"1","F",25,"3","1","G","-","0"
"1408637",3,"2","F",16,"0","6","M","G","0"
"1408637",4,"2","M",23,"0","6","M","G","0"
"1408637",4,"2","M",31,"0","3","M","G","0"
"1408645",3,"2","F",64,"0","3","G","-","0"
"1409991",2,"1","F",43,"4","1","M","G","0"
"1410004",4,"2","M",16,"0","3","G","-","0"
"1410004",4,"2","M",16,"0","4","G","-","0"
"1410004",4,"2","M",16,"0","6","G","-","0"
"1417602",1,"2","M",17,"0","3","P","G","0"
"1420262",1,"1","F",37,"2","1","P","G","0"
"1420262",1,"2","F",14,"3","6","P","G","0"
"1420262",1,"2","F",5,"3","5","P","U","0"
"1420262",1,"2","F",8,"3","4","P","G","0"
"1420262",1,"2","M",41,"3","3","P","G","0"
"1421111",2,"2","F",39,"0","3","M","G","0"
"1421111",2,"2","M",2,"0","4","P","Q","0"
"1421111",2,"2","F",0,"0","6","P","Q","0"
"1426145",2,"1","M",49,"3","1","M","G","0"
"1426145",3,"1","M",42,"4","1","M","G","0"
"1426145",3,"2","M",32,"0","3","M","G","0"
"1427025",1,"1","F",21,"3","1","L","G","0"
"1427025",1,"2","F",25,"3","3","L","G","0"
"1439919",2,"1","M",43,"2","1","W","-","0"
"1439981",2,"1","M",20,"4","1","M","G","0"
"1442419",1,"1","M",62,"4","1","G","-","0"
"1442419",1,"2","M",31,"3","3","G","-","0"
"1446683",2,"1","F",32,"3","1","L","G","0"
"1450896",1,"2","M",8,"4","6","P","G","0"
"1450896",1,"2","M",10,"0","4","P","G","0"
"1450896",1,"2","F",39,"4","3","P","G","0"
"1450909",1,"2","M",26,"2","1","P","W","1"
"1450924",1,"1","F",18,"3","1","G","-","0"
